abbrev,numF,total,prctStr,changeStr,rank,rankNumF,rankTotal,rankPrct,rankChange,,
Netherlands,1.31,1.25,20.2,20.4,1,1,2,1,3,,1.18
Hungary,1.23,1.25,31.9,33.9,2,2,3,8,22,,1.04
Vietnam,1.23,0.92,,42.8,3,3,40,66,43,,1.31
South Africa,1.21,0.96,,38.8,4,4,34,65,35,,1.11
Estonia,1.21,1.26,38.9,42.6,5,5,1,29,42,,1.11
Japan,1.18,0.91,24.8,12,6,6,45,2,1,,0.93
Czech Republic,1.17,1,32.1,28.6,7,7,29,9,14,,0.95
Egypt,1.16,0.78,47.3,36.2,9,9,60,46,28,,1.09
Bolivia,1.16,0.86,,39.2,8,8,52,61,36,,1.07
Denmark,1.15,1.13,33.1,28.4,10,10,11,11,13,,0.95
Germany,1.11,1.04,32.8,21.3,13,13,24,10,4,,0.94
Pakistan,1.11,0.85,,22.9,14,14,54,62,5,,1
Turkey,1.11,0.91,39.7,35.9,11,11,43,31,27,,1.15
Hong Kong,1.11,1.1,28.8,,12,12,15,4,64,,1.17
Romania,1.1,1.23,57.3,43.8,15,15,4,58,47,,1.06
Switzerland,1.09,1.13,27.3,25.7,16,16,12,3,8,,0.97
Singapore,1.07,0.93,46,26.5,17,17,37,45,9,,0.9
Norway,1.07,0.98,33.5,31.4,19,19,30,12,20,,1.03
United Kingdom,1.07,0.97,37.3,36.3,18,18,33,25,29,,1.03
Belgium,1.06,1.12,30.3,29.7,21,21,13,5,15,,1.07
Israel,1.06,1.09,39.5,,20,20,16,30,65,,0.95
Russian Federation,1.05,1.07,,42.9,22,22,18,64,44,,1.23
South Korea,1.04,1.05,30.6,12.5,23,23,22,6,2,,0.86
Slovakia,1.04,1.23,34.6,41.3,24,24,5,18,40,,1
Ireland,1.03,0.89,41.3,30.9,27,27,51,34,18,,0.91
Cyprus,1.03,1.03,35.7,31,25,25,26,22,19,,0.94
Malaysia,1.03,0.9,54.3,36.8,26,26,46,56,32,,1.11
Bermuda,1.02,0.81,51.3,,28,28,58,53,61,,1.16
France,1,1.05,35.9,27.7,29,29,21,23,12,,1.07
Slovenia,1,0.98,31.6,34.6,30,30,31,7,24,,0.98
Albania,0.99,0.92,66,44.3,31,31,41,59,48,,0.69
Greece,0.98,1.21,37.7,36.3,33,33,7,26,30,,1.03
Bosnia & Herzegovina,0.98,0.62,44.4,,32,32,64,41,62,,0.9
Finland,0.97,1.07,40.9,30,34,34,17,33,16,,0.93
New Zealand,0.96,1.04,41.7,39.3,35,35,23,36,38,,1.21
Austria,0.95,1.04,34.5,24,36,36,25,17,7,,1.16
United States,0.95,0.93,43,26.6,38,38,38,39,10,,0.91
Mexico,0.95,0.82,40.7,31.6,37,37,56,32,21,,0.96
Chile,0.94,0.96,33.5,27.7,40,40,36,13,11,,0.9
Colombia,0.94,0.74,48.1,35.5,41,41,61,48,26,,1.04
Brazil,0.94,1.02,34,48,39,39,27,15,51,,0.82
Iran,0.93,0.9,67.3,23.1,42,42,49,60,6,,1.21
Trinidad and Tobago,0.93,0.56,56.4,38.5,43,43,65,57,34,,1.23
Australia,0.92,1.01,35.6,,44,44,28,20,60,,1.05
Sweden,0.91,1.1,43.4,35.5,45,45,14,40,25,,0.74
Poland,0.91,1.22,41.4,39.2,47,47,6,35,37,,0.61
Bulgaria,0.91,1.05,50.9,46,48,48,20,51,50,,1.1
Venezuela,0.91,0.9,44.8,48.1,49,49,47,42,52,,0.99
Thailand,0.91,0.96,53,49,46,46,35,55,56,,0.78
Italy,0.9,0.97,49.5,30.3,52,52,32,50,17,,0.91
Iceland,0.9,0.89,38.2,37.9,51,51,50,27,33,,0.94
Costa Rica,0.9,0.55,35.5,40.3,50,50,66,19,39,,0.91
Argentina,0.87,0.84,48,50.4,54,54,55,47,57,,0.83
Latvia,0.87,1.14,34.4,51.8,53,53,10,16,58,,0.86
Ecuador,0.86,0.85,33.9,34.4,56,56,53,14,23,,0.6
Lithuania,0.86,1.21,36.9,48.5,57,57,8,24,54,,0.91
Canada,0.86,0.91,38.4,,55,55,42,28,63,,0.87
Lebanon,0.86,0.9,45.3,,58,58,48,44,66,,0.87
Cuba,0.83,1.15,45.2,48.3,59,59,9,43,53,,0.72
Puerto Rico,0.82,0.68,,42,60,60,63,63,41,,0.92
Belarus,0.78,0.92,51,44.3,61,61,39,52,49,,1.02
Croatia,0.74,0.91,42.6,43.4,62,62,44,38,45,,0.98
Antigua and Barbuda,0.72,1.05,42.5,,63,63,19,37,59,,0.86
Spain,0.69,0.81,35.6,36.4,64,64,57,21,31,,1.11
Portugal,0.61,0.8,48.1,43.8,65,65,59,49,46,,1.06
Macedonia,0.6,0.72,52.4,48.8,66,66,62,54,55,,0.86
