id,name,G08,lat,lon,HI08,AM08,AS08,HP08,BL08,WH08,TR08,leaidC_SEDA,WH_tot,WB_dissim,WH_dissim,WB_exp,WH_exp,G08_alg_p,G08_access_p,HI08_alg_p,BL08_alg_p,WH08_alg_p,WB_diff,WH_diff,WB_n,WH_n,WB_access,WH_access
170141006254,Horizon Science Acad-McKinley Pk,55,41.82249,-87.682131,50,0,0,0,1,2,2,1709930,2,0,0,.036363635,.036363635,.5272727,1,.5,0,1,1,.5,1,2,0,0
170993000048,Logandale Middle School,88,41.934143,-87.70784500000001,82,0,1,0,3,2,0,1709930,2,0,0,.022727273,.022727273,.15909091,1,.12195122,.66666669,1,.33333331,.87804878,2,2,0,0
170993000389,Marshall Middle School,23,41.95232,-87.72043600000001,19,1,0,0,3,0,0,1709930,0,,,,,.43478259,1,.36842105,1,,,,0,0,0,0
170993000411,Chavez Elem Multicultural Acad Ct,70,41.807417,-87.665701,64,0,0,0,5,1,0,1709930,1,0,0,.014285714,.014285714,.60000002,1,.578125,.80000001,1,.19999999,.421875,1,1,0,0
170993000441,Jordan Elem Community School,51,42.017167,-87.678062,36,1,3,0,11,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000581,Audubon Elem School,37,41.945392,-87.681316,19,0,1,0,2,14,1,1709930,14,0,0,.37837839,.37837839,.56756759,1,.52631581,0,.71428573,.71428573,.18796992,2,14,0,0
170993000582,Avalon Park Elem School,27,41.748492,-87.59125899999999,1,0,0,0,26,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000585,Barnard Elem Comp Math & Sci Ctr,28,41.705356,-87.658389,0,0,0,0,28,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000589,Barton Elem School,36,41.754462,-87.671156,0,0,0,0,36,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000590,Bass Elem School,57,41.774484,-87.653346,2,0,0,1,54,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000591,Bateman Elem School,94,41.95795,-87.702224,79,0,6,0,1,8,0,1709930,8,0,0,.08510638,.08510638,.38297874,1,.35443038,0,.5,.5,.14556962,1,8,0,0
170993000597,Nicholson Tech Acad Elem Sch,48,41.78414,-87.64816,2,0,0,0,46,0,0,1709930,0,,,,,1,1,1,1,,,,0,0,0,0
170993000601,Beaubien Elem School,116,41.971974,-87.756916,57,2,9,0,0,42,6,1709930,42,,0,,.36206895,.48275861,1,.33333334,,.73809522,,.40476188,0,42,0,0
170993000602,Beethoven Elem School,33,41.808773,-87.626702,0,0,0,0,32,0,1,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000603,Beidler Elem School,57,41.885181,-87.70501299999999,0,0,0,0,56,0,1,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000604,Belding Elem School,43,41.958056,-87.733475,24,0,2,1,3,10,3,1709930,10,0,0,.23255815,.23255815,.44186047,1,.41666666,.66666669,.69999999,.033333302,.28333333,3,10,0,0
170993000605,Bell Elem School,101,41.949543,-87.686731,25,0,2,0,5,64,5,1709930,64,0,0,.63366336,.63366336,.57425743,1,.51999998,.40000001,.578125,.17812499,.058125019,5,25,0,0
170993000607,Bennett Elem School,24,41.710293,-87.61704899999999,1,0,0,0,23,0,0,1709930,0,,,,,.16666667,1,0,.17391305,,,,0,0,0,0
170993000609,Black Magnet Elem School,52,41.729503,-87.57651300000001,1,0,0,0,51,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000610,Blaine Elem School,84,41.950933,-87.665134,32,1,6,2,3,36,4,1709930,36,0,0,.42857143,.42857143,.97619045,1,1,1,.94444442,-.055555582,-.055555582,3,32,0,0
170993000611,Bond Elem School,27,41.765559,-87.653007,1,0,0,0,26,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000612,Boone Elem School,80,42.003504,-87.698035,30,1,15,0,15,17,2,1709930,17,0,0,.21250001,.21250001,0,0,0,0,0,0,0,15,17,0,0
170993000614,Bradwell Comm Arts & Sci Elem Sch,53,41.75463,-87.557304,4,0,0,0,49,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000615,Haley Elem Academy,54,41.686315,-87.633298,0,0,0,0,53,0,1,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000616,Brennemann Elem School,40,41.960162,-87.649439,9,1,2,1,25,1,1,1709930,1,0,0,.025,.025,0,0,0,0,0,0,0,1,1,0,0
170993000617,Brentano Elem Math & Science Acad,28,41.930956,-87.696153,26,0,0,0,0,2,0,1709930,2,,0,,.071428575,.32142857,1,.26923078,,1,,.73076922,0,2,0,0
170993000618,Bridge Elem School,78,41.949686,-87.798928,42,0,3,0,0,33,0,1709930,33,,0,,.42307693,.35897437,1,.16666667,,.57575756,,.40909088,0,33,0,0
170993000619,Bright Elem School,26,41.699974,-87.562387,8,0,0,0,18,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000621,Brown  W Elem School,23,41.882954,-87.671122,2,0,0,0,20,1,0,1709930,1,0,0,.043478262,.043478262,0,0,0,0,0,0,0,1,1,0,0
170993000623,Bouchet Elem Math & Science Acad,53,41.761342,-87.575906,0,0,0,0,52,0,1,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000625,Budlong Elem School,75,41.975301,-87.696624,38,2,11,0,4,19,1,1709930,19,0,0,.25333333,.25333333,.97333336,1,.97368419,1,1,0,.026315808,4,19,0,0
170993000627,Burbank Elem School,93,41.917404,-87.78212499999999,82,0,1,0,8,2,0,1709930,2,0,0,.021505376,.021505376,0,0,0,0,0,0,0,2,2,0,0
170993000628,Turner-Drew Elem Language Academy,23,41.725555,-87.63048600000001,0,0,0,0,23,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000629,Burke Elem School,38,41.798114,-87.616467,2,0,0,0,36,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000632,Burley Elem School,50,41.938081,-87.669715,16,0,3,0,1,24,6,1709930,24,0,0,.47999999,.47999999,.66000003,1,.25,0,.91666669,.91666669,.66666669,1,16,0,0
170993000633,Burnham Elem Inclusive Academy,65,41.714748,-87.567054,5,0,0,0,60,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000634,Castellanos Elem School,93,41.84578,-87.71483600000001,87,0,0,0,6,0,0,1709930,0,,,,,.10752688,1,.11494253,0,,,,0,0,0,0
170993000635,Burnside Elem Scholastic Academy,49,41.72864,-87.60747000000001,3,0,0,0,46,0,0,1709930,0,,,,,.55102038,1,.66666669,.54347825,,,,0,0,0,0
170993000636,Burr Elem School,22,41.912042,-87.668767,14,0,0,0,5,2,1,1709930,2,0,0,.090909094,.090909094,0,0,0,0,0,0,0,2,2,0,0
170993000637,Burroughs Elem School,46,41.828938,-87.692551,43,0,0,0,0,3,0,1709930,3,,0,,.065217391,.32608697,1,.30232558,,.66666669,,.36434111,0,3,0,0
170993000638,Brunson Math & Sci Specialty Elem,62,41.897581,-87.76566800000001,0,0,0,0,61,1,0,1709930,1,0,,.016129032,,0,0,,0,0,0,,1,0,0,0
170993000640,Byrne Elem School,73,41.795102,-87.791262,44,0,0,0,2,27,0,1709930,27,0,0,.369863,.369863,.39726028,1,.36363637,0,.48148149,.48148149,.11784512,2,27,0,0
