id,name,G08,HI08,BL08,WH08,WB_dissim,WH_dissim,WB_exp,WH_exp,G08_alg_p,HI08_alg_p,BL08_alg_p,WH08_alg_p,WB_diff,WH_diff,WB_access,WH_access,WB_n,WH_n,top100,leaname_SEDA,stateabb_SEDA,mn_wbg_SEDA,mn_whg_SEDA,mn_blk_rel_SEDA,mn_hsp_rel_SEDA,mn_wht_rel_SEDA,insedacov_SEDA,insedatest_SEDA,dsizerank,dsizerank_b,dsizerank_h,haveseda_wb,haveseda_wh,haveseg_wb,haveseg_wh
1705580,"Belle Valley School District, IL",106,0,60,32,0,0,.301886796951294,0,.29245284,,.16666667,.40625,.23958333,,0,,32,0,0,Belle Valley Sd 119,IL,,,,,-.57810259,1,1,1296,467,712,0,0,1,1
2804800,"Yazoo County School District, MS",116,0,62,52,0,0,.4482758641242981,0,0,,0,0,0,,0,,52,0,0,Yazoo Co School Dist,MS,,,,,,1,1,1286,465,712,0,0,1,1
2800510,"Attala County School District, MS",79,0,49,30,.655102014541626,0,.2261773943901062,0,0,,0,0,0,,0,,30,0,0,Attala Co School Dist,MS,-.30238152,,-1.5120144,,-1.8143959,1,1,1323,478,712,1,0,1,1
2102100,"Fulton County School District, KY",42,0,15,22,0,0,.523809552192688,0,.42857143,,.26666668,.45454547,.18787879,,0,,15,0,0,Fulton County,KY,,,,,-.67438889,1,1,1360,512,712,0,0,1,1
509600,"McCrory School District, AR",68,0,11,57,0,0,.8382353186607361,0,0,,0,0,0,,0,,11,0,0,Mccrory School District,AR,,,,,1.9882855,1,1,1334,516,712,0,0,1,1
5102310,"Lunenburg County Public Schools, VA",104,0,45,54,0,0,.5192307829856873,0,.36538461,,.22222222,.46296296,.24074073,,0,,45,0,0,Lunenburg Co Pblc Schs,VA,2.4175858,,-1.8470988,,.57048702,1,1,1298,482,712,1,0,1,1
4220220,"Reynolds School District, PA",101,0,11,88,.4772727191448212,0,.7455800771713257,0,.35643566,,.36363637,.35227272,-.011363655,,.47727269,,11,0,0,Reynolds Sd,PA,,,,,1.104527,1,1,1301,516,712,0,0,1,1
4831650,"Mount Enterprise Independent School District, TX",28,0,10,17,0,0,.6071428656578064,0,0,,0,0,0,,0,,10,0,0,Mount Enterprise Isd,TX,,,,,1.3278441,1,1,1374,517,712,0,0,1,1
1303120,"Johnson County School District, GA",96,0,43,53,0,0,.5520833134651184,0,0,,0,0,0,,0,,43,0,0,Johnson County,GA,3.9272203,,-2.9643936,,.96282673,1,1,1306,484,712,1,0,1,1
2801530,"Franklin County School District, MS",93,0,44,49,0,0,.5268816947937012,0,0,,0,0,0,,0,,44,0,0,Franklin Co School Dist,MS,2.0323362,,-3.4494205,,-1.4170842,1,1,1309,483,712,1,0,1,1
1305100,"Treutlen County School District, GA",79,0,38,38,0,0,.4810126721858978,0,0,,0,0,0,,0,,38,0,0,Treutlen County,GA,2.6034844,,-3.3395765,,-.73609209,1,1,1323,489,712,1,0,1,1
2201710,"Tensas Parish School District, LA",53,0,42,11,.0974025949835777,0,.2061688303947449,0,0,,0,0,0,,0,,11,0,0,Tensas Parish,LA,,,-1.6919971,,,1,1,1349,485,712,0,0,1,1
2802760,"Lumberton Public School District, MS",42,0,17,24,0,0,.5714285969734192,0,0,,0,0,0,,0,,17,0,0,Lumberton Public School District,MS,1.8875175,,-3.1197405,,-1.232223,1,1,1360,510,712,1,0,1,1
4501050,"Barnwell School District, SC",68,0,38,28,0,0,.4117647111415863,0,.25,,.18421052,.35714287,.17293234,,0,,28,0,0,Barnwell 29,SC,2.8465548,,-.40802956,,2.4385252,1,1,1334,489,712,1,0,1,1
2913800,"Hayti R-II School District, MO",52,0,42,10,0,0,.1923076957464218,0,0,,0,0,0,,0,,10,0,0,Hayti R-Ii,MO,1.2895055,,1.613234,,2.9027395,1,1,1350,485,712,1,0,1,1
500032,"Bearden School District, AR",38,0,22,16,0,0,.4210526347160339,0,0,,0,0,0,,0,,16,0,0,Bearden School District,AR,,,,,-1.1074529,1,1,1364,505,712,0,0,1,1
2802820,"Marion County School District, MS",141,0,61,78,.4548129439353943,0,.4198573008179665,0,0,,0,0,0,,0,,61,0,0,Marion Co School Dist,MS,1.5492325,,-1.8949938,,-.3457613,1,1,1261,466,712,1,0,1,1
2802250,"Jefferson Davis County School District, MS",112,0,96,16,.40625,0,.131249999627471,0,0,,0,0,0,,0,,16,0,0,Jefferson Davis Co School Dist,MS,,,-.5446291,,,1,1,1290,431,712,0,0,1,1
101110,"Dallas County School District, AL",267,0,208,57,.6346153765916824,0,.1542735099792481,0,.24344569,,.2451923,.22807017,-.017122135,,0,,57,0,0,Dallas County,AL,1.2644417,,-2.1153276,,-.85088587,1,1,1135,322,712,1,0,1,1
2622290,"Madison Public Schools, MI",92,0,33,56,0,0,.6086956262588501,0,.16304348,,.12121212,.17857143,.057359308,,0,,33,0,0,Madison Public Schools (Oakland),MI,.1646595,,-3.3351398,,-3.1704803,1,1,1310,494,712,1,0,1,1
2804380,"Union Public School District, MS",80,0,11,67,0,0,.8374999761581421,0,0,,0,0,0,,0,,11,0,0,Union Public School Dist,MS,,,,,1.4610925,1,1,1322,516,712,0,0,1,1
2803780,"Quitman School District, MS",149,0,97,52,0,0,.3489933013916016,0,0,,0,0,0,,0,,52,0,0,Quitman School Dist,MS,1.7617166,,-2.4819286,,-.72021198,1,1,1253,430,712,1,0,1,1
100450,"Brewton City School District, AL",104,0,47,55,0,0,.5288461446762085,0,0,,0,0,0,,0,,47,0,0,Brewton City,AL,3.6541882,,-2.7544575,,.89973068,1,1,1298,480,712,1,0,1,1
1726970,"Meridian Community Unit School District, IL",40,0,28,10,0,0,.25,0,0,,0,0,0,,0,,10,0,0,Meridian Cusd 101,IL,,,-1.7173443,,,1,1,1362,499,712,0,0,1,1
2803720,"Poplarville Separate School District, MS",156,0,20,133,0,0,.8525640964508057,0,0,,0,0,0,,0,,20,0,0,Poplarville Separate School Dist,MS,1.6706717,,-2.2907956,,-.62012386,1,1,1246,507,712,1,0,1,1
3904391,"East Liverpool City School District, OH",153,0,11,133,0,0,.8692810535430908,0,.28758171,,.18181819,.30075186,.11893368,,0,,11,0,0,East Liverpool City,OH,,,,,-.42657804,1,1,1249,516,712,0,0,1,1
4221330,"Sharon City School District, PA",139,0,33,87,0,0,.6258992552757263,0,.54676259,,.39393941,.7011494,.30721,,0,,33,0,0,Sharon City Sd,PA,1.4810219,,-.77364779,,.7073741,1,1,1263,494,712,1,0,1,1
2800990,"Choctaw County School District, MS",92,0,28,64,0,0,.695652186870575,0,0,,0,0,0,,0,,28,0,0,Choctaw Co School Dist,MS,1.8088846,,-2.086659,,-.27777433,1,1,1310,499,712,1,0,1,1
503630,"Brinkley School District, AR",35,0,24,11,0,0,.3142857253551483,0,0,,0,0,0,,0,,11,0,0,Brinkley School District,AR,,,-.49751043,,,1,1,1367,503,712,0,0,1,1
4202130,"Aliquippa School District, PA",66,0,50,11,0,0,.1666666716337204,0,.24242425,,.2,.36363637,.16363637,,0,,11,0,0,Aliquippa Sd,PA,,,-.94784451,,,1,1,1336,477,712,0,0,1,1
102610,"Opp City School District, AL",106,0,20,86,0,0,.8113207817077637,0,0,,0,0,0,,0,,20,0,0,Opp City,AL,1.5938427,,-2.7197645,,-1.1259217,1,1,1296,507,712,1,0,1,1
2804080,"South Pike School District, MS",125,0,106,19,0,0,.1519999951124191,0,0,,0,0,0,,0,,19,0,0,South Pike School Dist,MS,.55286646,,-1.952457,,-1.3995905,1,1,1277,421,712,1,0,1,1
2804590,"West Jasper School District, MS",127,0,81,45,.7456790208816528,0,.1594732999801636,0,0,,0,0,0,,0,,45,0,0,West Jasper Consolidated Schools,MS,2.2802651,,-2.2524912,,.027773857,1,1,1275,446,712,1,0,1,1
3623280,"Plattsburgh City School District, NY",118,0,12,106,.0471698120236397,0,.8938053250312805,0,.22033899,,.33333334,.20754717,-.12578617,,-.047169805,,12,0,0,Plattsburgh City School District,NY,,,,,,1,0,1284,515,712,0,0,1,1
5400690,"Logan County School District, WV",451,0,14,436,.2080602906644344,0,.9600022733211517,0,0,,0,0,0,,0,,14,0,0,Logan County Schools,WV,,,,,.1341939,1,1,952,513,712,0,0,1,1
508340,"Junction City School District, AR",47,0,16,31,0,0,.6595744490623474,0,.14893617,,0,.22580644,.22580644,,0,,16,0,0,Junction City School District,AR,,,,,.79689312,1,1,1355,511,712,0,0,1,1
2803030,"Natchez-Adams School District, MS",267,0,251,15,.2446215134114027,0,.054928014986217,0,0,,0,0,0,,0,,15,0,0,Natchez-Adams School Dist,MS,.33785295,,-3.1282799,,-2.790427,1,1,1135,287,712,1,0,1,1
3904983,"Canton Local School District, OH",152,0,14,131,0,0,.8618420958518982,0,.21052632,,.14285715,.21374045,.070883304,,0,,14,0,0,Canton Local,OH,,,,,.16038418,1,1,1250,513,712,0,0,1,1
2617520,"Hamtramck Public Schools, MI",283,0,52,116,.3076923117041588,0,.3511674776673317,0,.031802122,,.03846154,0,-.03846154,,-.30769229,,52,0,0,Hamtramck Public Schools,MI,.84227514,,-1.3947816,,-.55250645,1,1,1119,475,712,1,0,1,1
4217220,"North Hills School District, PA",268,0,11,247,0,0,.9216417670249939,0,.51865673,,.18181819,.51417005,.33235186,,0,,11,0,0,North Hills Sd,PA,,,,,1.2635412,1,1,1134,516,712,0,0,1,1
2509030,"Norwell School District, MA",240,0,14,215,.7176079750061035,0,.7069597393274307,0,.96249998,,1,.95813954,-.041860461,,0,,14,0,0,Norwell,MA,,,,,2.6080275,1,1,1162,513,712,0,0,1,1
500030,"Nevada School District, AR",34,0,16,17,0,0,.5,0,0,,0,0,0,,0,,16,0,0,Nevada School District,AR,,,,,,1,1,1368,511,712,0,0,1,1
102760,"Piedmont City School District, AL",83,0,11,71,0,0,.8554216623306274,0,.24096386,,.36363637,.22535211,-.13828427,,0,,11,0,0,Piedmont City,AL,,,,,.077819824,1,1,1319,516,712,0,0,1,1
2801410,"East Tallahatchie School District, MS",72,0,51,20,0,0,.2777777910232544,0,0,,0,0,0,,0,,20,0,0,East Tallahatchie Consol Sch Dist,MS,1.6860902,,-2.035856,,-.34976578,1,1,1330,476,712,1,0,1,1
2803240,"North Pike School District, MS",184,0,46,135,0,0,.7336956262588501,0,0,,0,0,0,,0,,46,0,0,North Pike School Dist,MS,1.3476274,,-2.2434509,,-.89582348,1,1,1218,481,712,1,0,1,1
4503000,"McCormick County School District, SC",50,0,38,12,0,0,.239999994635582,0,.34,,.34210527,.33333334,-.0087719262,,0,,12,0,0,Mccormick 01,SC,,,-1.440372,,,1,1,1352,489,712,0,0,1,1
101640,"Geneva City School District, AL",84,0,11,72,0,0,.8571428656578064,0,.42857143,,.18181819,.47222221,.29040402,,0,,11,0,0,Geneva City,AL,,,,,-.77925587,1,1,1318,516,712,0,0,1,1
1300990,"Charlton County School District, GA",101,0,27,69,0,0,.6831682920455933,0,0,,0,0,0,,0,,27,0,0,Charlton County,GA,1.9902849,,-2.7096581,,-.71937323,1,1,1301,500,712,1,0,1,1
4224060,"Union Area School District, PA",56,0,12,43,0,0,.7678571343421936,0,.21428572,,.16666667,.23255815,.065891474,,0,,12,0,0,Union Area Sd,PA,,,,,.24148417,1,1,1346,515,712,0,0,1,1
2803090,"Nettleton School District, MS",100,0,21,79,0,0,.7900000214576721,0,0,,0,0,0,,0,,21,0,0,Nettleton School Dist,MS,.93058491,,-2.6646085,,-1.7340236,1,1,1302,506,712,1,0,1,1
4839960,"Shelbyville Independent School District, TX",51,1,10,39,0,0,.7647058963775635,.7647058963775635,0,0,0,0,0,0,0,0,10,1,0,Shelbyville Isd,TX,,,,,.84035683,1,1,1351,517,711,0,0,1,1
1717310,"Grant Community Consolidated School District, IL",61,1,29,25,0,0,.4098360538482666,.4098360538482666,0,0,0,0,0,0,0,0,25,1,0,Grant Ccsd 110,IL,1.4643004,,-2.1806271,,-.71632671,1,1,1341,498,711,1,0,1,1
1305220,"Twiggs County School District, GA",69,1,45,23,0,0,.3333333432674408,.3333333432674408,.63768119,0,.55555558,.82608694,.27053136,.82608694,0,0,23,1,0,Twiggs County,GA,,,-1.21735,,,1,1,1333,482,711,0,0,1,1
3904997,"Woodridge Local School District, OH",162,1,37,104,0,0,.6419752836227417,.6419752836227417,.18518518,0,0,.26923078,.26923078,.26923078,0,0,37,1,0,Woodridge Local,OH,3.0046234,,-.39955425,,2.6050692,1,1,1240,490,711,1,0,1,1
103300,"Thomasville City School District, AL",93,1,43,47,0,0,.5053763389587402,.5053763389587402,.23655914,0,.093023255,.34042552,.24740227,.34042552,0,0,43,1,0,Thomasville City,AL,2.1742716,,-4.3117132,,-2.1374414,1,1,1309,484,711,1,0,1,1
509630,"McGehee School District, AR",80,1,35,43,0,0,.5375000238418579,.5375000238418579,.1875,1,.11428571,.23255815,.11827243,-.76744187,0,0,35,1,0,Mcgehee School District,AR,1.9111867,,-.93463135,,.97655535,1,1,1322,492,711,1,0,1,1
2618030,"Hazel Park City School District, MI",205,1,75,120,0,0,.5853658318519592,.5853658318519592,.14634146,0,.053333335,.18333334,.13,.18333334,0,0,75,1,0,Hazel Park City School District,MI,-.5939827,,-1.7106962,,-2.3046789,1,1,1197,452,711,1,0,1,1
5103780,"Sussex County Public Schools, VA",88,1,66,20,0,0,.2272727340459824,.2272727340459824,.48863637,1,.46969697,.5,.030303031,-.5,0,0,20,1,0,Sussex Co Pblc Schs,VA,,,-1.1492057,,,1,1,1314,461,711,0,0,1,1
500051,"Palestine-Wheatley School District, AR",70,1,11,58,0,0,.8285714387893677,.8285714387893677,0,0,0,0,0,0,0,0,11,1,0,Palestine-Wheatley Sch. Dist.,AR,,,,,-1.1198692,1,1,1332,516,711,0,0,1,1
2802700,"Louisville Municipal School District, MS",198,1,131,61,.6254536435008049,.7704917937517166,.1842858530580998,.109375,0,0,0,0,0,0,.42960832,.47540984,61,1,0,Louisville Municipal School Dist,MS,2.9259715,,-2.1056771,,.82029438,1,1,1204,397,711,1,0,1,1
2804740,"Winona Separate School District, MS",81,1,44,36,0,0,.4444444477558136,.4444444477558136,0,0,0,0,0,0,0,0,36,1,0,Winona Separate School Dist,MS,1.2531967,,-.20459795,,1.0485988,1,1,1321,483,711,1,0,1,1
102250,"Marengo County School District, AL",97,1,61,34,.63934426009655,0,.2114188820123673,.5862069129943848,.072164945,0,.1147541,0,-.1147541,0,-.36065573,0,34,1,0,Marengo County,AL,3.745604,,-1.8929205,,1.8526835,1,1,1305,466,711,1,0,1,1
4704490,"West Carroll Special District, TN",89,1,14,71,0,0,.7977527976036072,.7977527976036072,0,0,0,0,0,0,0,0,14,1,0,West Carroll Special District,TN,,,,,-.60967684,1,1,1313,513,711,0,0,1,1
1736330,"Signal Hill School District, IL",38,1,15,20,0,0,.5263158082962036,.5263158082962036,0,0,0,0,0,0,0,0,15,1,0,Signal Hill Sd 181,IL,,,,,,1,1,1364,512,711,0,0,1,1
2800450,"Amory School District, MS",124,1,33,88,0,0,.7096773982048035,.7096773982048035,0,0,0,0,0,0,0,0,33,1,0,Amory School Dist,MS,3.3022766,,-2.4484482,,.85382843,1,1,1278,494,711,1,0,1,1
4220460,"Rochester Area School District, PA",53,1,14,38,0,0,.7169811129570007,.7169811129570007,.2264151,0,.35714287,.18421052,-.17293234,.18421052,0,0,14,1,0,Rochester Area Sd,PA,,,,,.66574717,1,1,1349,513,711,0,0,1,1
