"title","lat","lon","school"
"Albertville City School District, AL",34.2675,-86.2086,0
"Marshall County School District, AL",34.304968,-86.286673,0
"Hoover City School District, AL",33.4062,-86.7669,0
"Madison City School District, AL",34.687312,-86.744874,0
"Leeds City School District, AL",33.54419,-86.541801,0
"Boaz City School District, AL",34.21315,-86.159891,0
"Trussville City School District, AL",33.63251,-86.604551,0
"Alexander City City School District, AL",32.941095,-85.958426,0
"Andalusia City School District, AL",31.327783,-86.48346,0
"Anniston City School District, AL",33.707086,-85.821631,0
"Arab City School District, AL",34.327875,-86.488261,0
"Athens City School District, AL",34.81389,-86.946741,0
"Attalla City School District, AL",33.9956,-86.1111,0
"Saraland City School District, AL",30.801141,-88.072021,0
"Auburn City School District, AL",32.59894,-85.464121,0
"Autauga County School District, AL",32.46275,-86.474211,0
"Baldwin County School District, AL",30.911431,-87.787485,0
"Barbour County School District, AL",31.878283,-85.453785,0
"Bessemer City School District, AL",33.400707,-86.95802,0
"Bibb County School District, AL",32.945405,-87.143254,0
"Birmingham City School District, AL",33.519991,-86.809068,0
"Blount County School District, AL",33.94564,-86.476448,0
"Brewton City School District, AL",31.1177,-87.0723,0
"Bullock County School District, AL",32.144541,-85.71635,0
"Butler County School District, AL",31.815298,-86.628715,0
"Calhoun County School District, AL",33.69753,-85.824331,0
"Chambers County School District, AL",32.890345,-85.382695,0
"Cherokee County School District, AL",34.151788,-85.67843,0
"Chilton County School District, AL",32.86855,-86.621991,0
"Choctaw County School District, AL",32.07944,-88.233236,0
"Clarke County School District, AL",31.709818,-87.780277,0
"Clay County School District, AL",33.274462,-85.835284,0
"Cleburne County School District, AL",33.677803,-85.552196,0
"Coffee County School District, AL",31.4109,-86.0563,0
"Colbert County School District, AL",34.714834,-87.702449,0
"Conecuh County School District, AL",31.434566,-86.954828,0
"Coosa County School District, AL",32.887987,-86.224435,0
"Covington County School District, AL",31.32154,-86.481711,0
"Crenshaw County School District, AL",31.705059,-86.267718,0
"Cullman City School District, AL",34.179015,-86.840793,0
"Cullman County School District, AL",34.012726,-86.75109,0
"Dale County School District, AL",31.316339,-85.546946,0
"Daleville City School District, AL",31.31601,-85.710273,0
"Dallas County School District, AL",32.4118,-87.0236,0
"DeKalb County School District, AL",34.566801,-85.569092,0
"Decatur City School District, AL",34.606,-86.9825,0
"Demopolis City School District, AL",32.511113,-87.835191,0
"Dothan City School District, AL",31.218124,-85.394491,0
