"id","area","size","alg8"
1095,"Marshall County",1268,0.282
1117,"Shelby County",3030,0.322
1073,"Jefferson County",6777,0.345
1089,"Madison County",3906,0.37
1123,"Tallapoosa County",427,0.177
1039,"Covington County",475,0
1015,"Calhoun County",1396,0.235
1083,"Limestone County",1001,0.201
1055,"Etowah County",1275,0.255
1097,"Mobile County",4544,0.133
1101,"Montgomery County",2365,0.144
1081,"Lee County",1721,0.314
1001,"Autauga County",786,0.278
1003,"Baldwin County",2305,0.32
1005,"Barbour County",263,0.054
1007,"Bibb County",106,0.255
1009,"Blount County",743,0.044
1053,"Escambia County",451,0
1011,"Bullock County",85,0
1013,"Butler County",230,0.217
1017,"Chambers County",331,0.15
1019,"Cherokee County",329,0.129
1021,"Chilton County",625,0.165
1023,"Choctaw County",115,0
1025,"Clarke County",286,0.138
1027,"Clay County",146,0.236
1029,"Cleburne County",186,0.126
1031,"Coffee County",747,0.292
1033,"Colbert County",614,0.224
1035,"Conecuh County",113,0
1037,"Coosa County",86,0.303
1041,"Crenshaw County",198,0
1043,"Cullman County",922,0.256
1045,"Dale County",482,0.088
1047,"Dallas County",498,0.135
1049,"DeKalb County",784,0.13
1103,"Morgan County",1452,0.205
1091,"Marengo County",334,0.278
1069,"Houston County",1207,0.41
1051,"Elmore County",988,0.278
1057,"Fayette County",176,0
1077,"Lauderdale County",974,0.19
1059,"Franklin County",482,0.121
1061,"Geneva County",286,0.228
1063,"Greene County",94,0.55
1065,"Hale County",172,0.361
1133,"Winston County",309,0.231
1067,"Henry County",221,0.397
1071,"Jackson County",626,0.034
1127,"Walker County",763,0.024
1075,"Lamar County",190,0
1079,"Lawrence County",330,0.288
1085,"Lowndes County",125,0
1087,"Macon County",145,0.231
1093,"Marion County",369,0.051
1099,"Monroe County",294,0
1115,"St. Clair County",972,0.237
1105,"Perry County",67,0
1113,"Russell County",708,0.101
1107,"Pickens County",206,0
1109,"Pike County",330,0.394
1111,"Randolph County",295,0.108
1119,"Sumter County",121,0.369
1121,"Talladega County",931,0.239
1125,"Tuscaloosa County",2149,0.142
1129,"Washington County",251,0.264
1131,"Wilcox County",114,0.217
2050,"Bethel Census Area",362,0.27
2158,"Kusilvak Census Area",166,0.207
2013,"Aleutians East Borough",17,0
2180,"Nome Census Area",176,0.101
2060,"Bristol Bay Borough",9,0.426
2240,"Southeast Fairbanks Census Area",95,0.317
2261,"Valdez-Cordova Census Area",138,0.244
2198,"Prince of Wales-Hyder Census Area",104,0.129
2070,"Dillingham Census Area",62,0.204
2090,"Fairbanks North Star Borough",1243,0.222
2290,"Yukon-Koyukuk Census Area",99,0.099
2130,"Ketchikan Gateway Borough",163,0.132
2020,"Anchorage Municipality",3477,0.28
2110,"Juneau City and Borough",348,0.329
2220,"Sitka City and Borough",87,0
2100,"Haines Borough",27,0.144
