"id","area","size","alg8"
"0100005","Albertville City",333,0.24
"0100006","Marshall County",434,0.262
"0100007","Hoover City",1045,0.394
"0100008","Madison City",784,0.462
"0100011","Leeds City",137,0.24
"0100012","Boaz City",156,0.23
"0100013","Trussville City",351,0.451
"0100030","Alexander City",224,0.223
"0100060","Andalusia City",117,0
"0100090","Anniston City",131,0.168
"0100100","Arab City",193,0.332
"0100120","Athens City",308,0.194
"0100180","Attalla City",174,0.263
"0100185","Saraland City",255,0
"0100188","Chickasaw City",83,0.309
"0100189","Satsuma City",119,0.264
"0100190","Alabaster City",535,0.332
"0100194","Pelham City",210,0.436
"0100210","Auburn City",619,0.295
"0100240","Autauga County",786,0.278
"0100270","Baldwin County",2305,0.32
"0100300","Barbour County",63,0
"0100330","Bessemer City",288,0.101
"0100360","Bibb County",106,0.255
"0100390","Birmingham City",1497,0.429
"0100420","Blount County",618,0
"0100450","Brewton City",104,0
"0100480","Bullock County",85,0
"0100510","Butler County",230,0.217
"0100540","Calhoun County",719,0.242
"0100600","Chambers County",294,0.168
"0100630","Cherokee County",329,0.129
"0100660","Chilton County",625,0.165
"0100690","Choctaw County Board of Education",115,0
"0100720","Clarke County",193,0.092
"0100750","Clay County",146,0.236
"0100780","Cleburne County",186,0.126
"0100810","Coffee County",154,0.046
"0100840","Colbert County",194,0.219
"0100870","Conecuh County",113,0
"0100900","Coosa County",86,0.303
"0100930","Covington County",252,0
"0100960","Crenshaw County",198,0
"0100990","Cullman City",210,0.251
"0101020","Cullman County",712,0.257
"0101050","Dale County",240,0
"0101080","Daleville City",85,0.276
"0101110","Dallas County",267,0.246
"0101140","Dekalb County",563,0.135
"0101170","Decatur City",614,0.265
"0101200","Demopolis City",193,0.288
"0101230","Dothan City",677,0.529
"0101260","Elba City",43,0
"0101290","Elmore County",853,0.23
"0101320","Enterprise City",550,0.384
"0101350","Escambia County",347,0
"0101380","Etowah County",723,0.242
"0101410","Eufaula City",200,0.07
"0101440","Fairfield City",139,0.188
"0101470","Fayette County",176,0
"0101530","Florence City",347,0.267
"0101560","Fort Payne City",221,0.117
"0101590","Franklin County",273,0
"0101620","Gadsden City",378,0.272
"0101640","Geneva City",84,0.436
"0101660","Geneva County",202,0.143
"0101680","Greene County",94,0.55
"0101690","Guntersville City",152,0.425
"0101710","Hale County",172,0.361
"0101720","Haleyville City",119,0.31
"0101730","Hartselle City",243,0.479
"0101740","Henry County",221,0.397
"0101760","Homewood City",286,0.972
"0101770","Houston County",530,0.253
"0101800","Huntsville City",1647,0.403
"0101830","Jackson County",422,0
"0101860","Jacksonville City",128,0.258
"0101890","Jasper City",203,0
"0101920","Jefferson County",2758,0.21
"0101950","Lamar County",190,0
"0101980","Lanett City",37,0
"0102010","Lauderdale County",627,0.149
"0102040","Lawrence County",330,0.288
"0102070","Lee County",781,0.276
"0102100","Limestone County",693,0.202
"0102130","Linden City",44,0.659
"0102160","Lowndes County",125,0
"0102190","Macon County",145,0.231
"0102220","Madison County",1475,0.286
"0102250","Marengo County",97,0.074
"0102310","Marion County",274,0
"0102350","Midfield City",102,0.159
"0102370","Mobile County",4087,0.134
"0102400","Monroe County",294,0
"0102430","Montgomery County",2279,0.135
"0102480","Morgan County Schools",595,0.027
"0102490","Mountain Brook City",364,0.364
"0102520","Muscle Shoals City",241,0.316
"0102550","Oneonta City",125,0.263
"0102580","Opelika City",321,0.435
"0102610","Opp City",106,0
"0102635","Oxford City",335,0.234
"0102640","Ozark City",157,0.133
"0102650","Pell City",312,0.267
"0102670","Perry County",67,0
"0102700","Phenix City",449,0.087
"0102730","Pickens County",206,0
"0102760","Piedmont City",83,0.258
"0102790","Pike County",179,0.411
