"total","numF","lat","lon","id","name","prct","top25"
333,80,34.260194,-86.206174,10000500870,"Albertville Middle School",24.024024024024,0
111,33,34.533721,-86.253681,10000600193,"Kate Duncan Smith DAR Middle",29.5293045854844,0
77,26,34.36277,-86.14224,10000600872,"Asbury Sch",33.703587692456,0
92,19,34.377158,-86.422337,10000601434,"Brindlee Mt Middle Sch",20.6521739130435,0
154,36,34.176234,-86.321259,10000601812,"Douglas Middle Sch",23.2267732267732,0
374,149,33.395648,-86.73218,10000700337,"Berry Middle Sch",38.7821862867189,0
409,167,33.330911,-86.852477,10000701422,"Robert F Bumpus Middle Sch",40.0422852958199,0
262,111,33.387895,-86.833672,10000701741,"Ira F Simmons Middle Sch",39.7311808320245,0
379,162,34.740814,-86.742697,10000800495,"Discovery Middle Sch",43.2030599776877,0
405,199,34.73367,-86.779197,10000801798,"Liberty Middle Sch",48.956692618094,0
137,33,33.54831,-86.535561,10001102095,"Leeds Middle School",23.9990339201374,0
156,36,34.212226,-86.157934,10001200123,"Boaz Middle Sch",23.0326295585413,0
351,158,33.65557,-86.593181,10001300714,"Hewitt-Trussville Middle Sch",45.1379105225259,0
224,50,32.945075,-85.948794,10003000001,"Alexander City Middle Sch",22.3214285714286,0
117,0,31.313758,-86.472421,10006000008,"Andalusia Junior High Schools",0,0
131,22,33.708181,-85.822842,10009001725,"Anniston Middle Sch",16.8380875853757,0
193,62,34.31248,-86.510466,10010000027,"Arab Jr High Sch",33.2051716623892,0
308,60,34.795745,-86.968011,10012001473,"Athens Middle Sch",19.4165440470859,0
174,46,34.017516,-86.098338,10018000034,"Etowah Middle Sch",26.3084477178886,0
255,0,30.831203,-88.064187,10018500893,"Saraland Middle/Nelson Adams",0,0
83,26,30.757103,-88.078474,10018802194,"Chickasaw City High School",30.8945013847137,0
119,30,30.847077,-88.056867,10018902195,"Satsuma City High School",26.3559969442322,0
535,177,33.215293,-86.837993,10019001184,"Thompson Middle School",33.2164485981308,0
210,87,33.349039,-86.806975,10019402398,"Riverchase Middle School",43.6123063683305,0
86,32,32.338392,-86.028178,10019502407,"Pike Road School",37.375415282392,0
619,183,32.598128,-85.476673,10021000037,"Auburn Jr High Sch",29.494305204572,0
51,24,32.662238,-86.70177,10024000045,"Billingsley High Sch",47.6443143353765,0
541,142,32.484949,-86.47069,10024000049,"Prattville Jr High Sch",27.5937248210816,0
23,5,32.433718,-86.659643,10024001408,"Autaugaville Sch",21.674043217912,0
171,42,32.700696,-86.47455,10024002159,"Marbury Middle Sch",24.783176903885,0
295,115,30.617332,-87.870063,10027000013,"Daphne Middle Sch",38.2857930274218,0
219,75,30.269068,-87.678994,10027000023,"Gulf Shores Middle Sch",34.2465753424658,0
102,28,30.419807,-87.59976,10027000057,"Elberta Middle Sch",27.6947724027444,0
376,154,30.495443,-87.881755,10027000059,"Fairhope Middle Sch",41.8772309508418,0
368,47,30.407602,-87.689399,10027000060,"Foley Middle Sch",12.8255526380068,0
52,23,31.00425,-87.621381,10027000062,"Perdido Elem Sch",46.8683839096683,0
46,26,30.487213,-87.695674,10027000069,"Summerdale Sch",58.1333569467812,0
313,58,30.584319,-87.727083,10027000162,"Central Baldwin Middle Sch",18.8936916619683,0
264,54,30.893827,-87.780681,10027001859,"Bay Minette Middle Sch",20.8925442865486,0
270,149,30.71514,-87.853961,10027001888,"Spanish Fort Middle School",54.7339044652129,0
63,0,31.868859,-85.449211,10030000074,"Barbour Co High Sch",0,0
288,29,33.367891,-86.984644,10033000086,"Bessemer City Middle Sch",10.0941244553377,0
1,0,32.947233,-87.142577,10036000092,"Bibb Co High Sch",0,0
105,27,33.112679,-87.131317,10036001426,"West Blocton Middle Sch",25.6565008025682,0
46,0,33.487852,-86.828684,10039000108,"Bush Middle Sch-Magnet",0,0
87,89,33.580532,-86.690317,10039000113,"Christian Alt Sch",100,0
117,116,33.470664,-86.897132,10039000133,"Green Acres Middle Sch",98.5056520540392,0
71,18,33.555745,-86.804788,10039000139,"Hudson K-Eight Sch",26.2251193109068,0
125,26,33.594988,-86.692793,10039000140,"Huffman Middle Sch",20.6790697674419,0
35,43,33.563814,-86.781507,10039000142,"Inglenook Sch",100,0
111,29,33.527992,-86.714067,10039000175,"WE Putnam Middle Sch-Magnet",25.4178877672854,0
179,34,33.610386,-86.701027,10039000184,"Smith Middle Sch",19.064893605995,0
74,23,33.49585,-86.828581,10039000190,"Washington Elem Sch",34.6178937558248,0
90,32,33.52307,-86.838679,10039000196,"Wilkerson Middle Sch",36.0442917143948,0
48,0,33.505353,-86.916759,10039000201,"Wylam Elem Sch",0,0
56,52,33.542663,-86.892409,10039001421,"South Hampton Elem",93.188184364655,0
111,34,33.474331,-86.87033,10039001649,"Arrington Middle Sch",31.742916100458,0
84,31,33.565762,-86.717299,10039001823,"Ossie Ware Mitchell Elem Sch",36.791557113643,0
108,107,33.523216,-86.805101,10039001878,"Phillips Acad",93.2221713471713,0
77,0,33.516264,-86.864238,10039002204,"Bush Hills Acad",0,0
78,0,33.531334,-86.771533,10039002206,"Hayes K-8",0,0
54,0,33.887948,-86.397141,10042000203,"Appalachian  Sch",0,0
72,0,33.993224,-86.573627,10042000206,"Cleveland High Sch",0,0
173,0,33.886936,-86.768139,10042000208,"Hayden High Sch",0,0
92,0,34.085829,-86.588809,10042000209,"JB Pennington High Sch",0,0
70,0,33.908376,-86.617886,10042000210,"Locust Fork High Sch",0,0
51,0,33.831426,-86.584032,10042000211,"Southeastern Elem Sch",0,0
106,0,34.082796,-86.430261,10042000213,"Susan Moore High Sch",0,0
104,0,31.160648,-87.060376,10045000215,"Brewton Middle Sch",0,0
85,0,32.133143,-85.719285,10048000221,"South Highlands Middle Sch",0,0
171,25,31.838076,-86.625332,10051000228,"Greenville Middle Sch",14.6647293079324,0
22,10,31.546046,-86.714626,10051000229,"McKenzie High Sch",45.3485908031363,0
37,14,31.62684,-86.729905,10051002144,"Georgiana School",40.1310401310401,0
143,30,33.77425,-85.886631,10054000232,"Alexandria High Sch",20.9204203617611,0
66,21,33.785955,-86.001352,10054000240,"Ohatchee High Sch",31.9507575757576,0
111,24,33.701185,-85.834209,10054000244,"Saks Middle Sch",20.3145210701886,0
105,14,33.746802,-85.830903,10054000247,"Weaver High Sch",13.2855436081243,0
