"total","numF","lat","lon","id","name","prct","top25"
149,109,34.03561,-118.455371,60013411208,"New West Charter",73.3325703635279,0
471,118,38.409997,-121.372799,61233001402,"Joseph Kerr Middle",25.1600287315301,0
383,58,38.490099,-121.417292,61233001412,"James Rutter Middle",15.1256604754186,0
493,155,38.419879,-121.415707,61233003667,"Harriet G. Eddy Middle",31.4725748102298,0
572,34,38.459204,-121.347539,61233007234,"T. R. Smedberg Middle",5.94936313686314,0
20,0,38.39135,-121.43717,61233008275,"Elk Grove Charter",0,0
455,39,38.468714,-121.440951,61233010292,"Samuel Jackman Middle",8.60935524652339,0
690,0,38.391027,-121.431809,61233010594,"Toby Johnson Middle",0,0
587,82,38.449208,-121.394459,61233011062,"Edward Harris Jr. Middle",13.9219819247538,0
713,196,38.426192,-121.336528,61233011066,"Katherine L. Albiani Middle",27.5085577356382,0
556,0,38.394546,-121.386302,61233012284,"Elizabeth Pinkerton Middle",0,0
22,0,34.031785,-118.278838,62271002112,"Frank Lanterman",0,0
328,25,34.022536,-118.272145,62271002800,"John Adams Middle",7.63067198749791,0
3,0,34.241758,-118.590704,62271002802,"William Tell Aggeler Opportunity High",0,0
84,34,33.979591,-118.464836,62271002822,"Westside Global Awareness Magnet",40.3691106072058,0
215,65,34.009707,-118.329283,62271002829,"Audubon Middle",29.8575806742383,0
306,14,34.088001,-118.336473,62271002836,"Hubert Howe Bancroft Middle",4.59784078852524,0
562,85,34.039492,-118.1819,62271002850,"Belvedere Middle",15.0868693914709,0
348,42,34.049309,-118.293877,62271002853,"Berendo Middle",12.0689655172414,0
590,0,33.977656,-118.275069,62271002856,"Mary McLeod Bethune Middle",0,0
65,0,34.040258,-118.166644,62271002869,"Brooklyn Avenue Elementary",0,0
376,40,34.11894,-118.18297,62271002873,"Luther Burbank Middle",10.6122555274877,0
607,128,34.064221,-118.336875,62271002875,"John Burroughs Middle",21.0644433882363,0
586,61,34.221704,-118.405303,62271002878,"Richard E. Byrd Middle",10.3836296482049,0
313,49,33.830315,-118.258776,62271002896,"Andrew Carnegie Middle",15.621140085151,0
100,46,33.822805,-118.283277,62271002897,"Caroldale Learning Community",45.8565488565489,0
318,0,34.003636,-118.260555,62271002902,"George Washington Carver Middle",0,0
229,58,34.212264,-118.610864,62271002933,"Christopher Columbus Middle",25.1003583527523,0
211,0,33.851112,-118.250756,62271002944,"Glenn Hammond Curtiss Middle",0,0
522,32,33.730624,-118.295105,62271002947,"Richard Henry Dana Middle",6.13026819923372,0
635,136,33.766091,-118.31598,62271002960,"Rudecinda Sepulveda Dodson Middle",21.394849253497,0
388,0,33.962248,-118.247894,62271002966,"Charles Drew Middle",0,0
333,104,34.131842,-118.206437,62271002970,"Eagle Rock High",31.2706978250365,0
553,46,33.980626,-118.251794,62271002975,"Thomas A. Edison Middle",8.30537747067961,0
492,45,34.079978,-118.178447,62271002982,"El Sereno Middle",9.15371160158016,0
145,0,33.963164,-118.182364,62271002983,"Elizabeth Learning Center",0,0
181,34,34.05369,-118.4363,62271002987,"Emerson Community Charter",18.7845303867403,0
496,0,33.792901,-118.312611,62271003011,"Alexander Fleming Middle",0,0
324,113,34.019213,-118.306424,62271003017,"Foshay Learning Center",34.8765432098765,0
517,66,34.294861,-118.511905,62271003027,"Robert Frost Middle",12.7812186033498,0
338,0,34.207902,-118.458207,62271003029,"Robert Fulton College Preparatory",0,0
628,0,33.98114,-118.217383,62271003030,"Henry T. Gage Middle",0,0
21,0,34.08486,-118.1998,62271003044,"Glen Alta Elementary",0,0
209,0,33.93282,-118.2711,62271003047,"Samuel Gompers Middle",0,0
539,28,34.031279,-118.161556,62271003058,"David Wark Griffith Middle",5.19840270532791,0
650,51,34.177006,-118.645996,62271003062,"George Ellery Hale Charter Academy",7.83823243893915,0
263,0,33.951795,-118.287262,62271003073,"Bret Harte Preparatory Middle",0,0
294,61,34.260572,-118.511646,62271003079,"Patrick Henry Middle",20.7265960777616,0
473,57,34.036424,-118.211937,62271003087,"Hollenbeck Middle",12.039873645762,0
503,156,34.24014,-118.5045,62271003089,"Oliver Wendell Holmes Middle",30.970901360216,0
256,70,34.116728,-118.240173,62271003102,"Washington Irving Mid Sch Math Music and Engr Magnet",27.3033604135894,0
634,152,34.096,-118.2817,62271003117,"Thomas Starr King Middle School Film and Media Magnet",23.9499576506991,0
39,0,34.08767,-118.3629,62271003127,"Laurel Elementary",0,0
454,152,34.253636,-118.592315,62271003128,"Ernest Lawrence Middle",33.41175623282,0
314,0,34.094611,-118.317777,62271003129,"Joseph Le Conte Middle",0,0
54,0,34.078767,-118.257776,62271003143,"Logan Street Elementary",0,0
279,0,34.271837,-118.404863,62271003155,"Charles Maclay Middle",0,0
558,59,34.197087,-118.416256,62271003156,"James Madison Middle",10.5541349768336,0
128,0,33.975956,-118.311417,62271003162,"Horace Mann Junior High",0,0
230,66,33.987071,-118.421326,62271003166,"Marina del Rey Middle",28.6097370476438,0
