"id","area","size","alg8"
1,"AL",55297,0.231
2,"AK",9108,0.244
4,"AZ",83266,0.166
5,"AR",36325,0.197
6,"CA",441076,0.167
8,"CO",65851,0.293
9,"CT",40094,0.299
10,"DE",9895,0.276
11,"DC",4110,0.288
12,"FL",205698,0.287
13,"GA",131382,0.194
15,"HI",13129,0.238
16,"ID",22202,0.404
17,"IL",147094,0.267
18,"IN",78443,0.249
19,"IA",35903,0.244
20,"KS",35522,0.292
21,"KY",49557,0.206
22,"LA",52274,0.133
23,"ME",13407,0.218
24,"MD",63585,0.302
25,"MA",69682,0.339
26,"MI",112997,0.266
27,"MN",62161,0.554
28,"MS",35838,0.08
29,"MO",66765,0.248
30,"MT",10947,0.23
31,"NE",22595,0.33
32,"NV",35798,0.209
33,"NH",14154,0.235
34,"NJ",97586,0.344
35,"NM",24230,0.207
36,"NY",128869,0.274
37,"NC",116317,0.243
38,"ND",7436,0.191
39,"OH",130423,0.239
40,"OK",48495,0.216
41,"OR",42580,0.2
42,"PA",129892,0.312
44,"RI",10742,0.222
45,"SC",56072,0.27
46,"SD",9505,0.204
47,"TN",73559,0.144
48,"TX",383959,0.245
49,"UT",47536,0.254
50,"VT",5952,0.235
51,"VA",95221,0.393
53,"WA",78712,0.282
54,"WV",20415,0.088
55,"WI",60772,0.22
56,"WY",6816,0.195
