"title","lat","lon"
"Positive Outcomes Charter School, Camden, DE",39.10835,-75.538757
"East Side Charter School, Wilmington, DE",39.748635,-75.529468
"Campus Community School, Dover, DE",39.165053,-75.536993
"Edison (Thomas A.) Charter Schoo, Wilmington, DE",39.748383,-75.532757
"Sussex Academy, Georgetown, DE",38.69754,-75.367631
"Newark Charter School, Newark, DE",39.662254,-75.776425
"Providence Creek Academy Charter, Clayton, DE",39.293319,-75.638159
"MOT Charter School, Middletown, DE",39.422675,-75.740239
"Family Foundations Academy, New Castle, DE",39.6779,-75.545971
"Odyssey Charter School, Wilmington, DE",39.759383,-75.598801
