"title","lat","lon"
"Positive Outcomes Charter School",39.10835,-75.538757
"East Side Charter School",39.748635,-75.529468
"Campus Community School",39.165053,-75.536993
"Edison (Thomas A.) Charter Schoo",39.748383,-75.532757
"Sussex Academy",38.69754,-75.367631
"Newark Charter School",39.662254,-75.776425
"Providence Creek Academy Charter",39.293319,-75.638159
"MOT Charter School",39.422675,-75.740239
"Family Foundations Academy",39.6779,-75.545971
"Odyssey Charter School",39.759383,-75.598801
