id,name,nSchls,mn_wbg_SEDA,mn_whg_SEDA,G08,HI08,BL08,WH08,WB_dissim,WH_dissim,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p,WB_diff,WH_diff,WB_access,WH_access,rank
0,The Nation,23032,,,3356201,850050,501148,1690877,.66651791,.6494543,.18106465,.7772578,.16972032,.76955712,.29232818,.84924275,.12260786,.11126353,.079685628,.071984947,0
1300120,"Atlanta City School District, GA",22,5.5408401,4.5256972,3498,238,2783,381,.84141248,.38627893,.063025214,.76890755,.051024076,.48760331,.50918633,.89763778,.45816225,.44616112,.41003448,.12873024,1
1709930,"Chicago Public School District, IL",425,3.1416354,2.2499132,26212,12560,9941,2329,.86413181,.70977271,.24657643,.68718153,.17563625,.32954431,.54916275,.93387723,.37352651,.30258632,.60433292,.2466957,2
4816230,"Dallas Independent School District, TX",49,2.4829493,1.5715933,11122,7865,2606,441,.63325346,.50923765,.2390337,.96389067,.20606293,.89370686,.55555558,.98639458,.34949267,.31652188,.092687726,.022503912,3
3702970,"Charlotte-Mecklenburg Schools, NC",50,3.2220387,2.6090717,11518,2354,4581,3599,.58788222,.55819607,.20135939,.98768055,.16000873,.94127917,.49874964,.99777716,.33874092,.29739025,.056497991,.01009661,4
2400060,"Anne Arundel County Public Schools, MD",19,2.441473,1.5533881,5376,589,1164,3075,.45280781,.40122074,.29202038,1,.2242268,1,.537561,1,.3133342,.24554062,0,0,5
3704720,"Wake County Schools, NC",49,3.3248048,2.4054718,12875,2002,2949,6345,.3720333,.29376337,.23126873,.99450547,.21634452,.99423534,.51946414,.98108745,.3031196,.2881954,-.013147891,-.013418019,6
4838730,"San Antonio Independent School District, TX",25,1.4711907,.55480242,3681,3307,243,99,.57875049,.43569961,.25914726,.96099186,.17283951,.75308645,.47474748,.94949496,.30190796,.21560022,.19640851,-.011496902,7
4835100,"Plano Independent School District, TX",14,2.4041224,2.0836959,4259,903,520,1750,.2764945,.35943744,.2248062,1,.20769231,1,.50171429,1,.29402196,.2769081,0,0,8
622500,"Long Beach Unified School District, CA",25,2.637991,2.1310053,5687,3105,859,840,.55825293,.60973662,.42254427,1,.37369034,1,.66190475,1,.28821442,.23936048,0,0,9
4816110,"Cypress-Fairbanks Independent School District, TX",21,2.2070799,1.6964512,8846,3826,1556,2378,.46483836,.45955807,.27731311,1,.25192803,1,.5218671,1,.26993906,.24455398,0,0,10
