id,name,G08,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p
100005,"Albertville City School District, AL",333,133,8,182,.16541353,1,0,1,.31868133,1
100006,"Marshall County School District, AL",434,92,4,326,.11956522,1,0,1,.297546,1
100008,"Madison City School District, AL",784,28,145,509,.14285715,1,.26206896,1,.5049116,1
100011,"Leeds City School District, AL",137,14,31,88,.14285715,1,.064516127,1,.28409091,1
100013,"Trussville City School District, AL",351,2,37,300,1,1,.27027026,1,.46333334,1
100030,"Alexander City City School District, AL",224,11,76,134,0,1,.092105262,1,.32089552,1
100060,"Andalusia City School District, AL",117,3,37,74,0,0,0,0,0,0
100090,"Anniston City School District, AL",131,3,119,4,0,1,.18487395,1,0,1
100100,"Arab City School District, AL",193,6,0,182,.33333334,1,,,.31868133,1
100120,"Athens City School District, AL",308,48,62,175,0,1,.080645159,1,.28,1
100180,"Attalla City School District, AL",174,10,41,122,0,1,.17073171,1,.30327868,1
100185,"Saraland City School District, AL",255,3,36,201,0,0,0,0,0,0
100188,"Chickasaw City School District, AL",83,1,63,19,0,1,.25396827,1,.52631581,1
100210,"Auburn City School District, AL",619,36,161,346,0,1,.080745339,1,.39306358,1
100240,"Autauga County School District, AL",786,15,201,544,.26666668,1,.14925373,1,.30882353,1
100270,"Baldwin County School District, AL",1937,125,286,1476,.23999999,1,.073426574,1,.30352303,1
100300,"Barbour County School District, AL",63,10,50,3,0,0,0,0,0,0
100330,"Bessemer City School District, AL",288,19,262,6,.2631579,1,.083969466,1,.33333334,1
100390,"Birmingham City School District, AL",1181,42,1120,4,.2857143,.97619045,.42767859,.91785717,.5,.75
100420,"Blount County School District, AL",618,82,5,524,0,0,0,0,0,0
100450,"Brewton City School District, AL",104,0,47,55,,,0,0,0,0
100480,"Bullock County School District, AL",85,11,72,2,0,0,0,0,0,0
100510,"Butler County School District, AL",230,4,159,64,0,1,.12578617,1,.421875,1
