id,name,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p,WB_diff,WH_diff,WB_access,WH_access,WB_diff_rank,WB_access_rank,WH_diff_rank,WH_access_rank,rank
0,The Nation,850050,501148,1690877,.18106465,.7772578,.16972032,.76955712,.29232818,.84924275,.12260786,.11126353,.079685628,.071984947,0,0,0,0,0
1300120,"Atlanta City School District, GA",238,2783,381,.063025214,.76890755,.051024076,.48760331,.50918633,.89763778,.45816225,.44616112,.41003448,.12873024,1,3,1,11,1
1709930,"Chicago Public School District, IL",12560,9941,2329,.24657643,.68718153,.17563625,.32954431,.54916275,.93387723,.37352651,.30258632,.60433292,.2466957,2,1,3,5,2
4816230,"Dallas Independent School District, TX",7865,2606,441,.2390337,.96389067,.20606293,.89370686,.55555558,.98639458,.34949267,.31652188,.092687726,.022503912,3,19,2,30,3
3702970,"Charlotte-Mecklenburg Schools, NC",2354,4581,3599,.20135939,.98768055,.16000873,.94127917,.49874964,.99777716,.33874092,.29739025,.056497991,.01009661,4,22,4,37,4
2400060,"Anne Arundel County Public Schools, MD",589,1164,3075,.29202038,1,.2242268,1,.537561,1,.3133342,.24554062,0,0,5,47,9,49,5
3704720,"Wake County Schools, NC",2002,2949,6345,.23126873,.99450547,.21634452,.99423534,.51946414,.98108745,.3031196,.2881954,-.013147891,-.013418019,6,92,5,93,6
4838730,"San Antonio Independent School District, TX",3307,243,99,.25914726,.96099186,.17283951,.75308645,.47474748,.94949496,.30190796,.21560022,.19640851,-.011496902,7,10,14,92,7
4835100,"Plano Independent School District, TX",903,520,1750,.2248062,1,.20769231,1,.50171429,1,.29402196,.2769081,0,0,8,48,6,47,8
622500,"Long Beach Unified School District, CA",3105,859,840,.42254427,1,.37369034,1,.66190475,1,.28821442,.23936048,0,0,9,49,11,51,9
4816110,"Cypress-Fairbanks Independent School District, TX",3826,1556,2378,.27731311,1,.25192803,1,.5218671,1,.26993906,.24455398,0,0,10,50,10,50,10
1200870,"Hillsborough County School District, FL",5454,3224,5388,.36395305,1,.30521092,1,.56774312,1,.2625322,.20379007,0,0,11,51,17,53,11
3701500,"Forsyth County Schools, NC",1018,1235,1720,.18074656,.96561885,.17975709,.9506073,.43779069,.9639535,.2580336,.25704414,.013346195,-.0016653538,12,35,8,80,12
4825740,"Klein Independent School District, TX",1461,543,1346,.24435319,1,.17127071,1,.41976225,1,.24849154,.17540906,0,0,13,52,25,56,13
4832940,"North East Independent School District, TX",3079,397,1486,.33907112,1,.29219145,1,.53364736,1,.24145591,.19457623,0,0,14,53,20,54,14
4827300,"Lewisville Independent School District, TX",1129,419,2082,.18866253,1,.14081146,1,.36839578,1,.22758432,.17973325,0,0,15,54,23,55,15
1301740,"DeKalb County School District, GA",1139,4586,731,.067603163,.88937664,.071085915,.75599653,.29001367,.98495209,.21892776,.2224105,.22895557,.095575452,16,8,13,17,16
1302550,"Gwinnett County School District, GA",3889,4519,3635,.36538956,.99640012,.31998229,.98871434,.53039891,1,.21041662,.16500935,.011285663,.0035998821,17,37,29,40,17
5101890,"Henrico County Public Schools, VA",266,1479,1613,.24060151,1,.21095334,1,.41599503,1,.20504169,.17539352,0,0,18,55,26,57,18
4808700,"Arlington Independent School District, TX",1950,1173,1039,.29333332,1,.22676897,1,.43118384,1,.20441487,.13785052,0,0,19,56,42,60,19
3701920,"Guilford County Schools, NC",717,2262,2053,.19804741,.92887032,.14102565,.94120246,.34486118,.96541649,.20383553,.14681377,.024214029,.036546171,20,27,36,25,20
5101260,"Fairfax County Public Schools, VA",3078,1424,5529,.32716051,1,.40028089,1,.60209805,1,.20181715,.27493754,0,0,21,57,7,48,21
4818300,"El Paso Independent School District, TX",3752,170,396,.20522387,.94189763,.1882353,.95294118,.3888889,.95959598,.2006536,.18366502,.006654799,.017698348,22,42,22,32,22
4833120,"Northside Independent School District, TX",5588,546,1441,.21277738,.98371512,.19047619,.98351645,.38931298,.98265094,.19883679,.17653561,-.00086551905,-.0010641813,23,78,24,79,23
4702220,"Knox County School District, TN",309,593,3279,.13268608,1,.097807758,1,.29460201,1,.19679424,.16191593,0,0,24,58,30,58,24
1201560,"Pinellas County School District, FL",1113,1176,4126,.35759211,1,.24744898,.96513605,.44207466,.99975765,.19462568,.084482551,.034621596,-.00024235249,25,25,75,77,25
4808940,"Austin Independent School District, TX",3472,461,1503,.2171659,.97033411,.16268981,.99132323,.3566201,.99334663,.1939303,.1394542,.0020233989,.023012519,26,45,40,29,26
4815000,"Conroe Independent School District, TX",1612,292,2283,.20905708,1,.16438356,1,.35830048,1,.19391692,.1492434,0,0,27,59,34,59,27
4703180,"Metropolitan Nashville Public School District, TN",1116,2387,1614,.24462366,.8530466,.18391286,.87264347,.37732342,.95786864,.19341056,.13269976,.085225165,.10482204,28,20,49,12,28
634320,"San Diego City Unified School District, CA",4516,828,1986,.10894597,.72586358,.15217391,.76328504,.34239677,.88066465,.19022286,.2334508,.11737961,.15480107,29,15,12,9,29
1301290,"Cobb County School District, GA",1699,2766,3350,.082989991,.99587995,.095444687,.98083878,.28,.998806,.18455532,.19701001,.017967224,.0029260516,30,31,18,43,30
1200150,"Brevard County School District, FL",761,779,3253,.34428385,.99474376,.24903722,.98459566,.43283123,.99231482,.18379401,.088547379,.0077191591,-.0024289489,31,41,72,81,31
4819700,"Fort Worth Independent School District, TX",3761,1320,663,.19941504,1,.12575758,1,.30920061,1,.18344304,.10978557,0,0,32,60,63,68,32
1201080,"Lee County School District, FL",2404,958,2980,.34567389,.9916805,.29853863,.99686849,.48120806,.9942953,.18266943,.13553417,-.0025731921,.0026147962,33,82,44,44,33
