id,longName,abbrev,prct,total,prctStr,numF,changeStr,incr,change,rank,name,prctCohort2008,prctCohort2011
227757,Rice University,Rice,25,64,25.0%,16,12.5%,1,12.5,3,Rice University,12.5,25
215062,University of Pennsylvania,UPenn,21.65898618,217,21.7%,47,11.7%,1,11.65898618,4,University of Pennsylvania,10,21.65898618
243744,Stanford University,Stanford,18.55955679,361,18.6%,67,11.1%,1,11.08292128,10,Stanford University,7.476635514,18.55955679
166683,Massachusetts Institute of Technology,MIT,31.61033797,503,31.6%,159,8.5%,1,8.53341489,1,Massachusetts Institute of Technology,23.07692308,31.61033797
110404,California Institute of Technology,Caltech,19.1011236,89,19.1%,17,7.2%,1,7.23671682,8,California Institute of Technology,11.86440678,19.1011236
110635,UC Berkeley,UC Berkeley,19.06158358,341,19.1%,65,6.9%,1,6.94037146,9,University of California Berkeley,12.12121212,19.06158358
190415,Cornell University,Cornell,19.72789116,294,19.7%,58,6.3%,1,6.33503402,6,Cornell University,13.39285714,19.72789116
190150,Columbia University,Columbia,19.20903955,177,19.2%,34,5.9%,1,5.87570622,7,Columbia University in the City of New York,13.33333333,19.20903955
236948,University of Washington,U of Washington,26.02739726,365,26.0%,95,5.6%,1,5.60697684,2,University of Washington Seattle Campus,20.42042042,26.02739726
228778,UT Austin,UT Austin,14.56953642,604,14.6%,88,3.1%,1,3.14712263,16,University of Texas at Austin,11.42241379,14.56953642
145637,University of Illinois at Urbana Champaign,U of Illinois,10.78610603,547,10.8%,59,2.5%,1,2.529225296,22,University of Illinois at Urbana Champaign,8.256880734,10.78610603
163286,University of Maryland College Park,UM College Park,12.45059289,506,12.5%,63,2.5%,1,2.482747231,19,University of Maryland College Park,9.967845659,12.45059289
170976,University of Michigan at Ann Arbor,U of Michigan,11.35029354,511,11.4%,58,2.5%,1,2.474553895,21,University of Michigan Ann Arbor,8.875739645,11.35029354
110662,UCLA,UCLA,12.85714286,280,12.9%,36,2.3%,1,2.29813665,18,University of California Los Angeles,10.55900621,12.85714286
217156,Brown University,Brown,13.15789474,152,13.2%,20,1.6%,1,1.6194332,17,Brown University,11.53846154,13.15789474
110680,UC San Diego,UC San Diego,16.23616236,542,16.2%,88,1.5%,1,1.46693159,14,University of California San Diego,14.76923077,16.23616236
243780,Purdue University Main Campus,Purdue,6.666666667,300,6.7%,20,1.2%,1,1.158192091,25,Purdue University Main Campus,5.508474576,6.666666667
166027,Harvard University,Harvard,20.83333333,120,20.8%,25,1.1%,1,1.06589147,5,Harvard University,19.76744186,20.83333333
211440,Carnegie Mellon University,Carnegie Mellon,17.74530271,479,17.7%,85,0.1%,1,0.05822788,12,Carnegie Mellon University,17.68707483,17.74530271
198419,Duke University,Duke,16.25,80,16.3%,13,0.0%,0,-0.02906977,13,Duke University,16.27906977,16.25
139755,Georgia Institute of Technology,GA Tech,8.347529813,587,8.3%,49,-1.1%,0,-1.117490763,23,Georgia Institute of Technology Main Campus,9.465020576,8.347529813
240444,University of Wisconsin Madison,UW Madison,8.026755853,299,8.0%,24,-1.5%,0,-1.52098284,24,University of Wisconsin Madison,9.547738693,8.026755853
199120,UNC at Chapel Hill,UNC Chapel Hill,12.19512195,123,12.2%,15,-1.9%,0,-1.90744215,20,University of North Carolina at Chapel Hill,14.1025641,12.19512195
130794,Yale University,Yale,14.58333333,48,14.6%,7,-2.1%,0,-2.08333334,15,Yale University,16.66666667,14.58333333
166629,University of Massachusetts Amherst,U Mass Amherst,5.531914894,235,5.5%,13,-2.6%,0,-2.560570655,26,University of Massachusetts Amherst,8.092485549,5.531914894
123961,University of Southern California,USC,18.01801802,111,18.0%,20,-3.0%,0,-2.99038534,11,University of Southern California,21.00840336,18.01801802
